protocol,ip,port,proxy,anonymity,latency_ms,country_code,country,city,isp,egress_ip
http,8.219.97.248,80,8.219.97.248:80,Elite,647,SG,Singapore,Singapore,Alibaba Cloud (Singapore) Private Limited,8.219.64.236
http,213.163.196.45,80,213.163.196.45:80,Elite,746,SG,Singapore,Singapore,UpCloud Ltd,213.163.196.45
http,103.151.107.134,80,103.151.107.134:80,Elite,911,IN,India,Noida,Techtreno Solutions Private Limited,103.151.107.134
http,163.181.207.167,9999,163.181.207.167:9999,Elite,943,VN,Vietnam,Hanoi,"Zhejiang Taobao Network Co., Ltd",163.181.207.167
http,103.237.102.191,11111,103.237.102.191:11111,Elite,959,DE,Germany,Frankfurt am Main,Zenlayer Inc,103.237.102.191
http,163.181.207.213,9999,163.181.207.213:9999,Elite,1031,VN,Vietnam,Hanoi,"Zhejiang Taobao Network Co., Ltd",163.181.207.213
http,58.187.104.62,2113,58.187.104.62:2113,Elite,1082,VN,Vietnam,Ho Chi Minh City,FPT Telecom Company,116.101.76.67
http,34.43.46.91,443,34.43.46.91:443,Elite,1869,??,Unknown,-,-,34.143.51.195
http,34.43.46.91,80,34.43.46.91:80,Elite,1982,US,United States,Mountain View,Google LLC,35.235.153.76
http,210.211.113.37,80,210.211.113.37:80,Elite,2044,VN,Vietnam,Ho Chi Minh City,VTDC,210.211.113.37
http,190.97.236.129,999,190.97.236.129:999,Elite,2045,VE,Venezuela,San Carlos del Zulia,Viginet C.A,153.51.201.35
http,190.97.236.128,999,190.97.236.128:999,Elite,2053,VE,Venezuela,Maporal,Viginet C.A,153.51.201.35
http,111.119.162.248,10932,111.119.162.248:10932,Elite,2188,PK,Pakistan,Tando Adam,Connect Communication,47.236.210.224
http,108.181.246.55,9898,108.181.246.55:9898,Elite,2192,US,United States,Dallas,Psychz Networks,192.42.116.142
